date,opponent,ph_goal,opp_goal,ph_goal_diff,ph_pen_goal,opp_pen_goal,ph_match_status,competition,competition_stage,sporting_event,location_city,location_country
2012-11-30,Myanmar,2,0,2,0,0,win,2012 aff championship ,group stage,aff championship,Bangkok,Thailand
2012-12-08,Singapore,0,0,0,0,0,draw,2012 aff championship ,semi-final,aff championship,Manila,Philippines
2012-12-12,Singapore,0,1,-1,0,0,loss,2012 aff championship ,semi-final,aff championship,,Singapore
2013-02-06,Myanmar,1,0,1,0,0,win,friendly,,friendly,Yangon,Myanmar
2013-03-24,Cambodia,8,0,8,0,0,win,2014 afc challenge cup qualification,,afc challenge cup qualification,Manila,Philippines
2013-03-26,Turkmenistan,1,0,1,0,0,win,2014 afc challenge cup qualification,,afc challenge cup qualification,Manila,Philippines
2013-06-04,Hong Kong,1,0,1,0,0,win,friendly,,friendly,,Hong Kong
2013-08-14,Indonesia,0,2,-2,0,0,loss,friendly,,friendly,Surakarta,Indonesia
2013-10-11,Chinese Taipei,1,2,-1,0,0,loss,2013 philippine peace cup,,philippine peace cup,Bacolod,Philippines
2013-10-15,Pakistan,3,1,2,0,0,win,2013 philippine peace cup,,philippine peace cup,Bacolod,Philippines
2013-11-09,United Arab Emirates,0,4,-4,0,0,loss,friendly,,friendly,Abu Dhabi,United Arab Emirates
2013-11-15,India,1,1,0,0,0,draw,friendly,,friendly,Siliguri,India
2014-03-01,Malaysia,0,0,0,0,0,draw,friendly,,friendly,Selayang,Malaysia
2014-03-05,Azerbaijan,0,1,-1,0,0,loss,friendly,,friendly,Dubai,United Arab Emirates
2014-04-11,Nepal,3,0,3,0,0,win,friendly,,friendly,Doha,Qatar
2014-04-27,Malaysia,0,0,0,0,0,draw,friendly,,friendly,Cebu,Philippines
2014-05-20,Afghanistan,0,0,0,0,0,draw,2014 afc challenge cup ,group stage,afc challenge cup,Addu City,Maldives
2014-05-22,Laos,2,0,2,0,0,win,2014 afc challenge cup ,group stage,afc challenge cup,Addu City,Maldives
2014-05-24,Turkmenistan,2,0,2,0,0,win,2014 afc challenge cup ,group stage,afc challenge cup,Malé,Maldives
2014-05-27,Maldives,3,2,1,0,0,win,2014 afc challenge cup ,semi-final,afc challenge cup,Malé,Maldives
2014-05-30,Palestine,0,1,-1,0,0,loss,2014 ac challenge cup ,final,ac challenge cup,Malé,Maldives
2014-09-03,Chinese Taipei,5,1,4,0,0,win,2014 philippine peace cup ,semi-final,philippine peace cup,Manila,Philippines
2014-09-06,Myanmar,2,3,-1,0,0,loss,2014 philippine peace cup ,final,philippine peace cup,Manila,Philippines
2014-10-12,Papua New Guinea,5,0,5,0,0,win,friendly,,friendly,Manila,Philippines
2014-10-31,Nepal,3,0,3,0,0,win,friendly,,friendly,Doha,Qatar
2014-11-09,Thailand,0,3,-3,0,0,loss,friendly,,friendly,Nakhon Ratchasima,Thailand
2014-11-14,Cambodia,3,0,3,0,0,win,friendly,,friendly,Manila,Philippines
2014-11-22,Laos,4,1,3,0,0,win,2014 aff championship ,group stage,aff championship,Hanoi,Vietnam
2014-11-25,Indonesia,4,0,4,0,0,win,2014 aff championship ,group stage,aff championship,Hanoi,Vietnam
2014-11-28,Vietnam,1,3,-2,0,0,loss,2014 aff championship ,group stage,aff championship,Hanoi,Vietnam
2014-12-06,Thailand,0,0,0,0,0,draw,2014 aff championship ,semi-final,aff championship,Manila,Philippines
2014-12-10,Thailand,0,3,-3,0,0,loss,2014 aff championship ,semi-final,aff championship,Bangkok,Thailand
2015-03-30,Bahrain,1,2,-1,0,0,loss,friendly,,friendly,Riffa,Bahrain
2015-06-11,Bahrain,2,1,1,0,0,win,2018 fifa world cup qualification,,fifa world cup qualification,Bocaue,Philippines
2015-06-16,Yemen,2,0,2,0,0,win,2018 fifa world cup qualification,,fifa world cup qualification,Doha,Qatar
2015-09-03,Maldives,2,0,2,0,0,win,friendly,,friendly,Manila,Philippines
2015-09-08,Uzbekistan,1,5,-4,0,0,loss,2018 fifa world cup qualification,,fifa world cup qualification,Bocaue,Philippines
2015-10-08,North Korea,0,0,0,0,0,draw,2018 fifa world cup qualification,,fifa world cup qualification,Pyongyang,North Korea
2015-10-13,Bahrain,0,2,-2,0,0,loss,2018 fifa world cup qualification,,fifa world cup qualification,Riffa,Bahrain
2015-11-12,Yemen,0,1,-1,0,0,loss,2018 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2016-03-24,Uzbekistan,0,1,-1,0,0,loss,2018 fifa world cup qualification,,fifa world cup qualification,Tashkent,Uzbekistan
2016-03-29,North Korea,3,2,1,0,0,win,2018 fifa world cup qualification,,fifa world cup qualification,Manila,Philippines
2016-09-06,Kyrgyzstan,2,1,1,0,0,win,friendly,,friendly,Bishkek,Kyrgyzstan
2016-10-07,Bahrain,1,3,-2,0,0,loss,friendly,,friendly,Manila,Philippines
2016-10-10,North Korea,1,3,-2,0,0,loss,friendly,,friendly,Manila,Philippines
2016-11-09,Kyrgyzstan,1,0,1,0,0,win,friendly,,friendly,Manila,Philippines
2016-11-19,Singapore,0,0,0,0,0,draw,2016 aff championship ,group stage,aff championship,Bocaue,Philippines
2016-11-22,Indonesia,2,2,0,0,0,draw,2016 aff championship ,group stage,aff championship,Bocaue,Philippines
2016-11-25,Thailand,0,1,-1,0,0,loss,2016 aff championship ,group stage,aff championship,Bocaue,Philippines
2017-03-22,Malaysia,0,0,0,0,0,draw,friendly,,friendly,Manila,Philippines
2017-03-28,Nepal,4,1,3,0,0,win,2019 afc asian cup qualification,,afc asian cup qualification,Manila,Philippines
2017-06-07,China,1,8,-7,0,0,loss,friendly,,friendly,Guangzhou,China
2017-06-13,Tajikistan,4,3,1,0,0,win,2019 afc asian cup qualification,,afc asian cup qualification,Dushanbe,Tajikistan
2017-09-05,Yemen,2,2,0,0,0,draw,2019 afc asian cup qualification,,afc asian cup qualification,Bacolod,Philippines
2017-10-10,Yemen,1,1,0,0,0,draw,2019 afc asian cup qualification,,afc asian cup qualification,Al Wakrah,Qatar
2017-11-14,Nepal,0,0,0,0,0,draw,2019 afc asian cup qualification,,afc asian cup qualification,Lalitpur,Nepal
2017-12-01,Laos,3,1,2,0,0,win,2017 ctfa international tournament,,ctfa international tournament,Taipei,Taiwan
2017-12-03,Chinese Taipei,0,3,-3,0,0,loss,2017 ctfa international tournament,,ctfa international tournament,Taipei,Taiwan
2017-12-05,East Timor,0,1,-1,0,0,loss,2017 ctfa international tournament,,ctfa international tournament,Taipei,Taiwan
2018-03-22,Fiji,3,2,1,0,0,win,friendly,,friendly,Manila,Philippines
2018-03-27,Tajikistan,2,1,1,0,0,win,2019 afc asian cup qualification,,afc asian cup qualification,Manila,Philippines
2018-09-06,Bahrain,1,1,0,0,0,draw,friendly,,friendly,Riffa,Bahrain
2018-09-09,Al-Hidd Club,2,3,-1,0,0,loss,friendly,,friendly,Al-Hidd,Bahrain
2018-10-03,Laos,3,1,2,0,0,win,2018 bangabandhu cup,,bangabandhu cup,Sylhet,Bangladesh
2018-10-05,Bangladesh,1,0,1,0,0,win,2018 bangabandhu cup,,bangabandhu cup,Sylhet,Bangladesh
2018-10-09,Tajikistan,0,2,-2,0,0,loss,2018 bangabandhu cup ,semi-final,bangabandhu cup,Cox's Bazar,Bangladesh
2018-10-13,Oman,1,1,0,0,0,draw,friendly,,friendly,Al Rayyan,Qatar
2018-11-13,Singapore,1,0,1,0,0,win,2018 aff championship ,group stage,aff championship,Bacolod,Philippines
2018-11-17,East Timor,3,2,1,0,0,win,2018 aff championship ,group stage,aff championship,Kuala Lumpur,Malaysia
2018-11-21,Thailand,1,1,0,0,0,draw,2018 aff championship ,group stage,aff championship,Bacolod,Philippines
2018-11-25,Indonesia,0,0,0,0,0,draw,2018 aff championship ,group stage,aff championship,Jakarta,Indonesia
2018-12-02,Vietnam,1,2,-1,0,0,loss,2018 aff championship ,semi-final,aff championship,Bacolod,Philippines
2018-12-06,Vietnam,1,2,-1,0,0,loss,2018 aff championship ,semi-final,aff championship,Hanoi,Vietnam
2019-01-07,South Korea,0,1,-1,0,0,loss,2019 afc asian cup ,group stage,afc asian cup,Dubai,United Arab Emirates
